REGION;PROVINCIA;NOMBRE COMUNA;DISTRITO;LOCALIDAD;ENTIDAD;CATEGORIA;Número total de personas;Total de Hombres;Total de Mujeres;Total de personas de 0 a 5 años;Total de personas de 6 a 14 años;Total de personas de 15 a 64 años;Total de personas de 65 y más años;Total personas migrantes que residen habitualmente en el territorio nacional;Total personas que se consideran pertenecientes a algún pueblo indígena u originario;Total de viviendas particulares;Total viviendas colectivas;Total viviendas ocupadas con moradores presentes;Total viviendas;Cantidad de hogares;Cantidad de viviendas tipo casa;Cantidad de viviendas tipo departamento en edificio;Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras);Cantidad de viviendas tipo pieza en casa antigua o en conventillo;Cantidad de viviendas tipo mediagua, mejora, rancho o choza;Cantidad de viviendas tipo móvil (carpa, casa rodante o similar);Cantidad de viviendas tipo otro tipo de vivienda particular;Cantidad de viviendas con materialidad en paredes de Hormigón armado;Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo;Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero);Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro);Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional;Cantidad de viviendas con materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;Cantidad de viviendas con materialidad de techo losa hormigón;Cantidad de viviendas con materialidad de techo planchas metálicas de zinc, cobre, etc. O fibrocemento (tipo pizarreño);Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado;Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña;Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo;Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera;Viviendas con materialidad de piso radier sin revestimiento;Viviendas con materialidad de piso baldosa de cemento;Viviendas con materialidad de piso capa de cemento sobre tierra;Viviendas con materialidad de piso tierra;Total viviendas con materialidad aceptable;Total viviendas con materialidad recuperable;Total viviendas con materialidad irrecuperable;Cantidad de viviendas con origen del agua por red pública;Cantidad de viviendas con origen del agua por pozo o noria;Cantidad de viviendas con origen del agua por camión aljibe;Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc.;x;y
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";LAS PATAGUAS;CHACAYAL CHICO;Parcela-Hijuela;38;24;14;Indeterminado;6;25;Indeterminado;0;0;"18";"0";"13";"18";"13";"18";"0";"0";"0";"0";"0";"0";"0";"7";"6";"0";"0";"0";"1";"0";"12";"0";"0";"0";"0";"13";"0";"0";"0";"0";"13";"0";"0";"0";"13";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";LAS PATAGUAS;CORRAL DE PIEDRAS;Parcela-Hijuela;27;11;16;Indeterminado;Indeterminado;22;0;0;0;"13";"0";"11";"13";"11";"11";"0";"0";"1";"1";"0";"0";"0";"4";"5";"2";"0";"0";"1";"0";"10";"0";"0";"0";"0";"8";"0";"0";"2";"1";"8";"2";"1";"0";"11";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";LAS PATAGUAS;LAS PATAGUAS;Caserío;93;40;53;9;10;51;23;0;Indeterminado;"40";"0";"35";"40";"35";"40";"0";"0";"0";"0";"0";"0";"1";"13";"17";"4";"0";"0";"1";"0";"34";"0";"0";"0";"0";"17";"5";"13";"0";"0";"17";"18";"0";"0";"30";"5";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";NIBLINTO;BAJO LOS AMIGOS;Parcela-Hijuela;59;28;31;Indeterminado;Indeterminado;41;5;4;8;"23";"0";"20";"23";"20";"23";"0";"0";"0";"0";"0";"0";"1";"1";"14";"3";"0";"1";"1";"0";"19";"0";"0";"0";"0";"16";"3";"0";"0";"1";"13";"6";"1";"16";"4";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";NIBLINTO;NIBLINTO;Parcela-Hijuela;23;14;9;Indeterminado;Indeterminado;13;5;0;0;"11";"0";"9";"11";"9";"11";"0";"0";"0";"0";"0";"0";"0";"1";"6";"2";"0";"0";"0";"0";"9";"0";"0";"0";"0";"7";"2";"0";"0";"0";"5";"4";"0";"7";"1";"1";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";NIBLINTO;NIBLINTO;Caserío;145;67;78;9;18;96;22;0;Indeterminado;"73";"0";"54";"73";"54";"71";"0";"0";"0";"1";"0";"1";"2";"8";"28";"13";"0";"3";"0";"0";"54";"0";"0";"0";"0";"46";"4";"3";"1";"0";"33";"18";"3";"49";"3";"0";"1";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";NIBLINTO;VILLA O'HIGGINS;Caserío;229;115;114;28;52;142;7;0;Indeterminado;"76";"0";"71";"76";"71";"76";"0";"0";"0";"0";"0";"0";"3";"0";"68";"0";"0";"0";"0";"0";"71";"0";"0";"0";"0";"70";"1";"0";"0";"0";"70";"1";"0";"61";"10";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";PULLAMI;LOS AROMOS;Parcela-Hijuela;48;29;19;Indeterminado;6;30;Indeterminado;Indeterminado;Indeterminado;"16";"0";"14";"16";"14";"16";"0";"0";"0";"0";"0";"0";"0";"4";"5";"5";"0";"0";"1";"0";"13";"0";"0";"0";"0";"14";"0";"0";"0";"0";"9";"5";"0";"0";"14";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";PULLAMI;PULLAMI;Parcela-Hijuela;122;69;53;15;15;81;11;Indeterminado;Indeterminado;"42";"0";"38";"42";"38";"42";"0";"0";"0";"0";"0";"0";"2";"2";"30";"3";"0";"1";"0";"0";"37";"0";"0";"0";"0";"32";"4";"0";"1";"1";"30";"7";"0";"31";"7";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";PULLAMI;PULLAMI;Fundo-Estancia-Hacienda;20;10;10;0;Indeterminado;18;Indeterminado;0;0;"10";"0";"8";"10";"8";"10";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"1";"0";"7";"0";"1";"0";"0";"0";"0";"8";"0";"0";"0";"0";"7";"1";"0";"0";"8";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";PULLAMI;PULLAMI CHICO;Parcela-Hijuela;51;32;19;Indeterminado;Indeterminado;35;11;0;Indeterminado;"26";"0";"21";"26";"21";"25";"0";"0";"1";"0";"0";"0";"0";"5";"13";"2";"0";"1";"0";"0";"21";"0";"0";"0";"0";"19";"1";"1";"0";"0";"16";"4";"1";"1";"20";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";EL EMBALSE;VEGAS DE NIBLINTO;Parcela-Hijuela;63;33;30;Indeterminado;Indeterminado;37;16;0;Indeterminado;"33";"0";"24";"33";"24";"32";"0";"0";"0";"1";"0";"0";"0";"2";"18";"4";"0";"0";"2";"0";"22";"0";"0";"0";"0";"21";"0";"0";"1";"2";"18";"4";"2";"15";"6";"0";"2";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";CULENAR;CULENAR;Parcela-Hijuela;27;17;10;Indeterminado;Indeterminado;17;4;0;Indeterminado;"13";"0";"10";"13";"10";"12";"0";"0";"0";"1";"0";"0";"3";"1";"3";"2";"0";"1";"2";"0";"8";"0";"0";"0";"0";"7";"1";"1";"1";"0";"6";"3";"1";"0";"10";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";EL CHINGUE;EL CHINGUE;Caserío;132;67;65;Indeterminado;Indeterminado;88;18;Indeterminado;Indeterminado;"57";"0";"49";"57";"49";"52";"0";"0";"1";"4";"0";"0";"10";"1";"26";"10";"0";"2";"2";"0";"47";"0";"0";"0";"0";"40";"5";"4";"0";"0";"31";"16";"2";"49";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";FRUTILLARES;FRUTILLARES SUR;Parcela-Hijuela;196;106;90;18;16;127;35;Indeterminado;Indeterminado;"83";"0";"68";"83";"68";"83";"0";"0";"0";"0";"0";"0";"3";"6";"40";"11";"0";"7";"1";"0";"67";"0";"0";"0";"0";"64";"3";"0";"1";"0";"47";"13";"7";"41";"26";"1";"0";;
